Index,SYT,FlipSYT,FlipFoundQ,RootCount,FlipRootCount,Distance,SameRootsQ,Reason
719,"{{1, 4, 5, 8, 12}, {2, 6, 9, 11}, {3, 7, 15}, {10, 14}, {13}}","{{1, 2, 3, 9, 13}, {4, 5, 6, 14}, {7, 10, 12}, {8, 15}, {11}}",False,,,,False,FlipSYTNotFound
839,"{{1, 3, 9, 13, 15}, {2, 5, 11, 14}, {4, 7, 12}, {6, 8}, {10}}","{{1, 2, 4, 6, 10}, {3, 5, 8, 12}, {7, 9, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
848,"{{1, 6, 9, 11, 13}, {2, 7, 10, 15}, {3, 8, 14}, {4, 12}, {5}}","{{1, 2, 4, 8, 11}, {3, 5, 6, 12}, {7, 9, 13}, {10, 14}, {15}}",False,,,,False,FlipSYTNotFound
889,"{{1, 3, 7, 13, 15}, {2, 5, 11, 14}, {4, 6, 12}, {8, 9}, {10}}","{{1, 2, 4, 6, 8}, {3, 5, 7, 12}, {9, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
921,"{{1, 4, 5, 7, 11}, {2, 6, 8, 10}, {3, 12, 14}, {9, 15}, {13}}","{{1, 3, 7, 10, 13}, {2, 4, 8, 14}, {5, 6, 12}, {9, 11}, {15}}",False,,,,False,FlipSYTNotFound
931,"{{1, 3, 7, 13, 15}, {2, 5, 11, 14}, {4, 8, 12}, {6, 9}, {10}}","{{1, 2, 4, 6, 10}, {3, 5, 7, 12}, {8, 11, 14}, {9, 15}, {13}}",False,,,,False,FlipSYTNotFound
1020,"{{1, 6, 8, 11, 13}, {2, 7, 10, 15}, {3, 9, 14}, {4, 12}, {5}}","{{1, 2, 4, 7, 11}, {3, 5, 6, 12}, {8, 9, 13}, {10, 14}, {15}}",False,,,,False,FlipSYTNotFound
1088,"{{1, 3, 8, 13, 15}, {2, 5, 11, 14}, {4, 6, 12}, {7, 9}, {10}}","{{1, 2, 4, 6, 9}, {3, 5, 7, 12}, {8, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
1105,"{{1, 3, 6, 13, 15}, {2, 5, 11, 14}, {4, 8, 12}, {7, 9}, {10}}","{{1, 2, 4, 6, 9}, {3, 5, 7, 12}, {8, 11, 14}, {10, 15}, {13}}",False,,,,False,FlipSYTNotFound
1137,"{{1, 4, 6, 13, 15}, {2, 5, 11, 14}, {3, 7, 12}, {8, 9}, {10}}","{{1, 2, 4, 6, 8}, {3, 5, 7, 13}, {9, 11, 14}, {10, 15}, {12}}",False,,,,False,FlipSYTNotFound
1163,"{{1, 3, 6, 13, 15}, {2, 5, 11, 14}, {4, 7, 12}, {8, 9}, {10}}","{{1, 2, 4, 6, 8}, {3, 5, 7, 12}, {9, 11, 14}, {10, 15}, {13}}",False,,,,False,FlipSYTNotFound
1229,"{{1, 3, 8, 13, 15}, {2, 5, 11, 14}, {4, 7, 12}, {6, 9}, {10}}","{{1, 2, 4, 6, 10}, {3, 5, 7, 12}, {8, 9, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
1314,"{{1, 6, 8, 13, 15}, {2, 7, 10, 14}, {3, 9, 12}, {4, 11}, {5}}","{{1, 2, 4, 5, 11}, {3, 6, 7, 12}, {8, 9, 13}, {10, 14}, {15}}",False,,,,False,FlipSYTNotFound
1338,"{{1, 3, 7, 13, 15}, {2, 6, 11, 14}, {4, 8, 12}, {5, 9}, {10}}","{{1, 2, 4, 6, 11}, {3, 5, 7, 12}, {8, 10, 14}, {9, 15}, {13}}",False,,,,False,FlipSYTNotFound
1354,"{{1, 3, 9, 13, 15}, {2, 5, 11, 14}, {4, 6, 12}, {7, 8}, {10}}","{{1, 2, 4, 6, 9}, {3, 5, 8, 12}, {7, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
1358,"{{1, 6, 9, 13, 15}, {2, 7, 10, 14}, {3, 8, 12}, {4, 11}, {5}}","{{1, 2, 4, 5, 11}, {3, 6, 8, 12}, {7, 9, 13}, {10, 14}, {15}}",False,,,,False,FlipSYTNotFound
1378,"{{1, 5, 7, 11, 13}, {2, 6, 10, 15}, {3, 8, 14}, {4, 12}, {9}}","{{1, 2, 4, 7, 12}, {3, 5, 6, 8}, {9, 10, 13}, {11, 14}, {15}}",False,,,,False,FlipSYTNotFound
