Index,SYT,FlipSYT,FlipFoundQ,RootCount,FlipRootCount,Distance,SameRootsQ,Reason
71004,"{{1, 3, 7, 9, 13}, {2, 4, 11, 15}, {5, 6, 12}, {8, 10}, {14}}","{{1, 2, 6, 8, 11}, {3, 4, 9, 10}, {5, 12, 14}, {7, 15}, {13}}",False,,,,False,FlipSYTNotFound
71082,"{{1, 3, 4, 8, 13}, {2, 7, 11, 15}, {5, 9, 12}, {6, 10}, {14}}","{{1, 2, 6, 10, 14}, {3, 4, 7, 11}, {5, 9, 13}, {8, 15}, {12}}",False,,,,False,FlipSYTNotFound
71089,"{{1, 3, 5, 8, 13}, {2, 6, 11, 15}, {4, 9, 12}, {7, 10}, {14}}","{{1, 2, 6, 9, 14}, {3, 4, 7, 12}, {5, 10, 13}, {8, 15}, {11}}",False,,,,False,FlipSYTNotFound
71113,"{{1, 3, 5, 8, 13}, {2, 4, 11, 15}, {6, 9, 12}, {7, 10}, {14}}","{{1, 2, 6, 9, 14}, {3, 4, 7, 10}, {5, 11, 12}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
71152,"{{1, 3, 4, 6, 13}, {2, 8, 11, 15}, {5, 9, 12}, {7, 10}, {14}}","{{1, 2, 6, 9, 14}, {3, 4, 7, 11}, {5, 12, 13}, {8, 15}, {10}}",False,,,,False,FlipSYTNotFound
71204,"{{1, 3, 4, 7, 13}, {2, 5, 11, 15}, {6, 9, 12}, {8, 10}, {14}}","{{1, 2, 6, 8, 14}, {3, 4, 7, 10}, {5, 11, 13}, {9, 15}, {12}}",False,,,,False,FlipSYTNotFound
71306,"{{1, 2, 3, 5, 9}, {4, 6, 13, 15}, {7, 8, 14}, {10, 11}, {12}}","{{1, 2, 4, 6, 15}, {3, 5, 9, 14}, {7, 8, 12}, {10, 13}, {11}}",False,,,,False,FlipSYTNotFound
71336,"{{1, 2, 3, 4, 15}, {5, 8, 10, 14}, {6, 9, 12}, {7, 13}, {11}}","{{1, 2, 3, 5, 9}, {4, 7, 10, 15}, {6, 8, 14}, {11, 13}, {12}}",False,,,,False,FlipSYTNotFound
71411,"{{1, 3, 4, 8, 13}, {2, 5, 11, 15}, {6, 7, 12}, {9, 10}, {14}}","{{1, 2, 6, 7, 14}, {3, 4, 9, 10}, {5, 11, 13}, {8, 15}, {12}}",False,,,,False,FlipSYTNotFound
71445,"{{1, 3, 7, 8, 13}, {2, 4, 11, 15}, {5, 6, 12}, {9, 10}, {14}}","{{1, 2, 6, 7, 11}, {3, 4, 9, 10}, {5, 12, 14}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
71534,"{{1, 3, 7, 10, 13}, {2, 5, 9, 15}, {4, 8, 12}, {6, 11}, {14}}","{{1, 2, 5, 8, 10}, {3, 4, 7, 12}, {6, 11, 14}, {9, 15}, {13}}",False,,,,False,FlipSYTNotFound
71558,"{{1, 3, 8, 10, 13}, {2, 5, 9, 15}, {4, 7, 12}, {6, 11}, {14}}","{{1, 2, 5, 9, 10}, {3, 4, 7, 12}, {6, 11, 14}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
71579,"{{1, 3, 8, 10, 13}, {2, 4, 9, 15}, {5, 6, 12}, {7, 11}, {14}}","{{1, 2, 5, 9, 11}, {3, 4, 7, 10}, {6, 12, 14}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
71663,"{{1, 6, 8, 11, 12}, {2, 7, 10, 15}, {3, 9, 14}, {4, 13}, {5}}","{{1, 2, 3, 7, 11}, {4, 5, 6, 12}, {8, 9, 13}, {10, 14}, {15}}",False,,,,False,FlipSYTNotFound
71686,"{{1, 4, 7, 11, 12}, {2, 5, 10, 15}, {3, 9, 14}, {6, 13}, {8}}","{{1, 2, 3, 7, 8}, {4, 5, 6, 10}, {9, 11, 13}, {12, 14}, {15}}",False,,,,False,FlipSYTNotFound
71695,"{{1, 3, 6, 10, 13}, {2, 5, 9, 15}, {4, 8, 12}, {7, 11}, {14}}","{{1, 2, 5, 8, 9}, {3, 4, 7, 12}, {6, 11, 14}, {10, 15}, {13}}",False,,,,False,FlipSYTNotFound
71719,"{{1, 3, 5, 10, 13}, {2, 6, 9, 15}, {4, 8, 12}, {7, 11}, {14}}","{{1, 2, 5, 8, 9}, {3, 4, 7, 12}, {6, 13, 14}, {10, 15}, {11}}",False,,,,False,FlipSYTNotFound
71855,"{{1, 3, 6, 10, 13}, {2, 5, 8, 15}, {4, 9, 12}, {7, 11}, {14}}","{{1, 2, 5, 9, 12}, {3, 4, 7, 11}, {6, 13, 14}, {8, 15}, {10}}",False,,,,False,FlipSYTNotFound
71859,"{{1, 5, 8, 11, 12}, {2, 6, 10, 15}, {3, 7, 14}, {4, 13}, {9}}","{{1, 2, 3, 7, 12}, {4, 5, 6, 9}, {8, 10, 13}, {11, 14}, {15}}",False,,,,False,FlipSYTNotFound
71886,"{{1, 2, 5, 10, 13}, {3, 6, 8, 15}, {4, 9, 12}, {7, 11}, {14}}","{{1, 2, 5, 9, 12}, {3, 4, 7, 10}, {6, 13, 15}, {8, 14}, {11}}",False,,,,False,FlipSYTNotFound
71940,"{{1, 2, 5, 10, 13}, {3, 4, 6, 15}, {7, 9, 12}, {8, 11}, {14}}","{{1, 2, 5, 8, 13}, {3, 4, 7, 9}, {6, 12, 15}, {10, 14}, {11}}",False,,,,False,FlipSYTNotFound
72131,"{{1, 2, 3, 5, 15}, {4, 6, 7, 8}, {9, 10, 12}, {11, 14}, {13}}","{{1, 2, 3, 7, 12}, {4, 5, 10, 15}, {6, 9, 14}, {8, 13}, {11}}",False,,,,False,FlipSYTNotFound
72151,"{{1, 4, 8, 9, 13}, {2, 6, 10, 15}, {3, 7, 12}, {5, 11}, {14}}","{{1, 2, 5, 9, 11}, {3, 4, 8, 13}, {6, 10, 14}, {7, 15}, {12}}",False,,,,False,FlipSYTNotFound
72193,"{{1, 3, 8, 9, 13}, {2, 4, 10, 15}, {5, 6, 12}, {7, 11}, {14}}","{{1, 2, 5, 9, 11}, {3, 4, 8, 10}, {6, 12, 14}, {7, 15}, {13}}",False,,,,False,FlipSYTNotFound
72197,"{{1, 3, 8, 9, 13}, {2, 5, 10, 15}, {4, 7, 12}, {6, 11}, {14}}","{{1, 2, 5, 9, 10}, {3, 4, 8, 12}, {6, 11, 14}, {7, 15}, {13}}",False,,,,False,FlipSYTNotFound
72233,"{{1, 3, 5, 7, 15}, {2, 6, 9, 14}, {4, 10, 12}, {8, 13}, {11}}","{{1, 2, 3, 5, 8}, {4, 6, 12, 14}, {7, 10, 13}, {9, 11}, {15}}",False,,,,False,FlipSYTNotFound
72240,"{{1, 2, 3, 4, 15}, {5, 8, 9, 14}, {6, 10, 12}, {7, 13}, {11}}","{{1, 2, 3, 5, 9}, {4, 6, 10, 15}, {7, 8, 14}, {11, 13}, {12}}",False,,,,False,FlipSYTNotFound
72296,"{{1, 3, 5, 9, 13}, {2, 6, 10, 15}, {4, 8, 12}, {7, 11}, {14}}","{{1, 2, 5, 9, 14}, {3, 4, 8, 12}, {6, 10, 13}, {7, 15}, {11}}",False,,,,False,FlipSYTNotFound
72299,"{{1, 3, 7, 9, 13}, {2, 4, 10, 15}, {5, 6, 12}, {8, 11}, {14}}","{{1, 2, 5, 8, 11}, {3, 4, 9, 10}, {6, 12, 14}, {7, 15}, {13}}",False,,,,False,FlipSYTNotFound
72326,"{{1, 3, 5, 9, 13}, {2, 4, 10, 15}, {6, 8, 12}, {7, 11}, {14}}","{{1, 2, 5, 9, 14}, {3, 4, 8, 10}, {6, 11, 12}, {7, 15}, {13}}",False,,,,False,FlipSYTNotFound
72500,"{{1, 4, 8, 11, 12}, {2, 5, 9, 15}, {3, 7, 14}, {6, 13}, {10}}","{{1, 2, 3, 6, 10}, {4, 5, 7, 9}, {8, 11, 13}, {12, 14}, {15}}",False,,,,False,FlipSYTNotFound
72520,"{{1, 4, 7, 11, 12}, {2, 5, 9, 15}, {3, 8, 14}, {6, 13}, {10}}","{{1, 2, 3, 6, 10}, {4, 5, 7, 8}, {9, 11, 13}, {12, 14}, {15}}",False,,,,False,FlipSYTNotFound
72522,"{{1, 5, 8, 11, 12}, {2, 6, 9, 15}, {3, 7, 14}, {4, 13}, {10}}","{{1, 2, 3, 6, 12}, {4, 5, 7, 9}, {8, 10, 13}, {11, 14}, {15}}",False,,,,False,FlipSYTNotFound
72547,"{{1, 3, 5, 8, 13}, {2, 4, 10, 15}, {6, 9, 12}, {7, 11}, {14}}","{{1, 2, 5, 9, 14}, {3, 4, 7, 10}, {6, 11, 12}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
72602,"{{1, 3, 4, 6, 13}, {2, 8, 10, 15}, {5, 9, 12}, {7, 11}, {14}}","{{1, 2, 5, 9, 14}, {3, 4, 7, 11}, {6, 12, 13}, {8, 15}, {10}}",False,,,,False,FlipSYTNotFound
72643,"{{1, 3, 4, 7, 13}, {2, 5, 10, 15}, {6, 9, 12}, {8, 11}, {14}}","{{1, 2, 5, 8, 14}, {3, 4, 7, 10}, {6, 11, 13}, {9, 15}, {12}}",False,,,,False,FlipSYTNotFound
72703,"{{1, 2, 4, 7, 15}, {3, 5, 6, 14}, {8, 10, 12}, {9, 13}, {11}}","{{1, 2, 3, 5, 7}, {4, 6, 11, 13}, {8, 10, 15}, {9, 14}, {12}}",False,,,,False,FlipSYTNotFound
72787,"{{1, 3, 7, 8, 13}, {2, 4, 10, 15}, {5, 6, 12}, {9, 11}, {14}}","{{1, 2, 5, 7, 11}, {3, 4, 9, 10}, {6, 12, 14}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
72896,"{{1, 2, 4, 9, 15}, {3, 5, 6, 14}, {7, 8, 12}, {10, 13}, {11}}","{{1, 2, 3, 5, 9}, {4, 6, 11, 13}, {7, 8, 15}, {10, 14}, {12}}",False,,,,False,FlipSYTNotFound
73005,"{{1, 4, 9, 10, 12}, {2, 5, 11, 15}, {3, 8, 14}, {6, 13}, {7}}","{{1, 2, 3, 8, 9}, {4, 5, 7, 10}, {6, 11, 13}, {12, 14}, {15}}",False,,,,False,FlipSYTNotFound
73048,"{{1, 6, 9, 10, 12}, {2, 7, 11, 15}, {3, 8, 14}, {4, 13}, {5}}","{{1, 2, 3, 8, 11}, {4, 5, 7, 12}, {6, 9, 13}, {10, 14}, {15}}",False,,,,False,FlipSYTNotFound
73050,"{{1, 2, 4, 7, 15}, {3, 5, 6, 11}, {8, 9, 10}, {12, 14}, {13}}","{{1, 2, 3, 7, 8}, {4, 6, 11, 13}, {5, 10, 15}, {9, 14}, {12}}",False,,,,False,FlipSYTNotFound
73164,"{{1, 2, 4, 7, 15}, {3, 5, 8, 14}, {6, 9, 12}, {10, 13}, {11}}","{{1, 2, 3, 5, 10}, {4, 6, 13, 15}, {7, 11, 14}, {8, 12}, {9}}",False,,,,False,FlipSYTNotFound
73279,"{{1, 2, 4, 7, 15}, {3, 5, 6, 14}, {8, 9, 12}, {10, 13}, {11}}","{{1, 2, 3, 5, 8}, {4, 6, 11, 13}, {7, 10, 15}, {9, 14}, {12}}",False,,,,False,FlipSYTNotFound
73341,"{{1, 5, 8, 10, 12}, {2, 6, 11, 15}, {3, 7, 14}, {4, 13}, {9}}","{{1, 2, 3, 7, 12}, {4, 5, 8, 9}, {6, 10, 13}, {11, 14}, {15}}",False,,,,False,FlipSYTNotFound
73382,"{{1, 2, 4, 5, 15}, {3, 7, 9, 10}, {6, 8, 11}, {12, 14}, {13}}","{{1, 2, 3, 8, 10}, {4, 7, 13, 15}, {5, 9, 14}, {6, 12}, {11}}",False,,,,False,FlipSYTNotFound
73385,"{{1, 2, 6, 8, 13}, {3, 5, 7, 15}, {4, 10, 12}, {9, 11}, {14}}","{{1, 2, 5, 7, 12}, {3, 4, 9, 11}, {6, 13, 15}, {8, 14}, {10}}",False,,,,False,FlipSYTNotFound
73533,"{{1, 3, 5, 10, 12}, {2, 6, 11, 15}, {4, 8, 14}, {7, 13}, {9}}","{{1, 2, 3, 7, 14}, {4, 5, 8, 9}, {6, 10, 12}, {11, 13}, {15}}",False,,,,False,FlipSYTNotFound
73590,"{{1, 3, 5, 10, 12}, {2, 4, 11, 15}, {6, 7, 14}, {8, 13}, {9}}","{{1, 2, 3, 7, 14}, {4, 5, 8, 10}, {6, 9, 12}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
73643,"{{1, 6, 8, 9, 12}, {2, 7, 11, 15}, {3, 10, 14}, {4, 13}, {5}}","{{1, 2, 3, 9, 11}, {4, 5, 6, 12}, {7, 8, 13}, {10, 14}, {15}}",False,,,,False,FlipSYTNotFound
73720,"{{1, 3, 4, 9, 13}, {2, 5, 8, 15}, {6, 7, 12}, {10, 11}, {14}}","{{1, 2, 5, 6, 10}, {3, 4, 8, 9}, {7, 13, 14}, {11, 15}, {12}}",False,,,,False,FlipSYTNotFound
73907,"{{1, 3, 4, 8, 13}, {2, 5, 9, 15}, {6, 7, 12}, {10, 11}, {14}}","{{1, 2, 5, 6, 14}, {3, 4, 9, 10}, {7, 11, 13}, {8, 15}, {12}}",False,,,,False,FlipSYTNotFound
73924,"{{1, 3, 6, 8, 12}, {2, 9, 11, 15}, {4, 10, 14}, {5, 13}, {7}}","{{1, 2, 3, 9, 14}, {4, 5, 6, 11}, {7, 10, 12}, {8, 13}, {15}}",False,,,,False,FlipSYTNotFound
73996,"{{1, 5, 6, 8, 12}, {2, 7, 11, 15}, {3, 10, 14}, {4, 13}, {9}}","{{1, 2, 3, 7, 12}, {4, 5, 6, 11}, {8, 9, 13}, {10, 14}, {15}}",False,,,,False,FlipSYTNotFound
74010,"{{1, 3, 5, 8, 12}, {2, 7, 11, 15}, {4, 10, 14}, {6, 13}, {9}}","{{1, 2, 3, 7, 14}, {4, 5, 6, 10}, {8, 9, 12}, {11, 13}, {15}}",False,,,,False,FlipSYTNotFound
74032,"{{1, 2, 6, 8, 13}, {3, 5, 7, 15}, {4, 9, 12}, {10, 11}, {14}}","{{1, 2, 5, 6, 12}, {3, 4, 9, 11}, {7, 13, 15}, {8, 14}, {10}}",False,,,,False,FlipSYTNotFound
74039,"{{1, 3, 4, 6, 13}, {2, 7, 9, 15}, {5, 8, 12}, {10, 11}, {14}}","{{1, 2, 5, 6, 14}, {3, 4, 8, 11}, {7, 12, 13}, {9, 15}, {10}}",False,,,,False,FlipSYTNotFound
74168,"{{1, 3, 9, 12, 15}, {2, 5, 10, 13}, {4, 7, 11}, {6, 8}, {14}}","{{1, 2, 5, 8, 10}, {3, 6, 9, 12}, {4, 11, 14}, {7, 15}, {13}}",False,,,,False,FlipSYTNotFound
74169,"{{1, 2, 4, 7, 13}, {3, 5, 8, 15}, {6, 9, 12}, {10, 11}, {14}}","{{1, 2, 5, 6, 15}, {3, 4, 10, 13}, {7, 11, 14}, {8, 12}, {9}}",False,,,,False,FlipSYTNotFound
74188,"{{1, 3, 9, 12, 15}, {2, 5, 10, 13}, {4, 6, 11}, {7, 8}, {14}}","{{1, 2, 5, 8, 9}, {3, 6, 10, 12}, {4, 11, 14}, {7, 15}, {13}}",False,,,,False,FlipSYTNotFound
74242,"{{1, 3, 8, 12, 15}, {2, 5, 10, 13}, {4, 6, 11}, {7, 9}, {14}}","{{1, 2, 5, 7, 9}, {3, 6, 10, 12}, {4, 11, 14}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
74249,"{{1, 2, 3, 7, 12}, {4, 5, 11, 15}, {6, 10, 14}, {8, 13}, {9}}","{{1, 2, 3, 7, 15}, {4, 5, 6, 8}, {9, 10, 12}, {11, 14}, {13}}",False,,,,False,FlipSYTNotFound
74255,"{{1, 3, 8, 12, 15}, {2, 5, 10, 13}, {4, 7, 11}, {6, 9}, {14}}","{{1, 2, 5, 7, 10}, {3, 6, 9, 12}, {4, 11, 14}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
74263,"{{1, 3, 7, 12, 15}, {2, 5, 10, 13}, {4, 8, 11}, {6, 9}, {14}}","{{1, 2, 5, 7, 10}, {3, 6, 8, 12}, {4, 11, 14}, {9, 15}, {13}}",False,,,,False,FlipSYTNotFound
74294,"{{1, 4, 7, 9, 12}, {2, 6, 11, 15}, {3, 8, 14}, {5, 13}, {10}}","{{1, 2, 3, 6, 11}, {4, 5, 8, 10}, {7, 9, 13}, {12, 14}, {15}}",False,,,,False,FlipSYTNotFound
74331,"{{1, 3, 5, 9, 12}, {2, 7, 11, 15}, {4, 8, 14}, {6, 13}, {10}}","{{1, 2, 3, 6, 14}, {4, 5, 8, 10}, {7, 9, 12}, {11, 13}, {15}}",False,,,,False,FlipSYTNotFound
74353,"{{1, 3, 6, 12, 15}, {2, 5, 10, 13}, {4, 8, 11}, {7, 9}, {14}}","{{1, 2, 5, 7, 9}, {3, 6, 8, 12}, {4, 11, 14}, {10, 15}, {13}}",False,,,,False,FlipSYTNotFound
74416,"{{1, 3, 5, 9, 12}, {2, 6, 11, 15}, {4, 8, 14}, {7, 13}, {10}}","{{1, 2, 3, 6, 14}, {4, 5, 8, 9}, {7, 10, 12}, {11, 13}, {15}}",False,,,,False,FlipSYTNotFound
74475,"{{1, 3, 7, 12, 15}, {2, 5, 10, 13}, {4, 6, 11}, {8, 9}, {14}}","{{1, 2, 5, 7, 8}, {3, 6, 10, 12}, {4, 11, 14}, {9, 15}, {13}}",False,,,,False,FlipSYTNotFound
74485,"{{1, 3, 6, 12, 15}, {2, 5, 10, 13}, {4, 7, 11}, {8, 9}, {14}}","{{1, 2, 5, 7, 8}, {3, 6, 9, 12}, {4, 11, 14}, {10, 15}, {13}}",False,,,,False,FlipSYTNotFound
74511,"{{1, 2, 4, 10, 15}, {3, 5, 9, 14}, {6, 7, 11}, {8, 13}, {12}}","{{1, 2, 3, 4, 10}, {5, 7, 8, 13}, {6, 9, 15}, {11, 14}, {12}}",False,,,,False,FlipSYTNotFound
74545,"{{1, 3, 8, 12, 15}, {2, 5, 9, 13}, {4, 7, 11}, {6, 10}, {14}}","{{1, 2, 5, 6, 10}, {3, 7, 9, 12}, {4, 11, 14}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
74557,"{{1, 3, 7, 11, 13}, {2, 6, 8, 15}, {4, 9, 10}, {5, 12}, {14}}","{{1, 2, 6, 7, 11}, {3, 4, 10, 12}, {5, 13, 14}, {8, 15}, {9}}",False,,,,False,FlipSYTNotFound
74558,"{{1, 3, 8, 12, 15}, {2, 5, 9, 13}, {4, 6, 11}, {7, 10}, {14}}","{{1, 2, 5, 6, 9}, {3, 7, 10, 12}, {4, 11, 14}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
74561,"{{1, 2, 4, 11, 13}, {3, 6, 9, 15}, {5, 7, 10}, {8, 12}, {14}}","{{1, 2, 6, 8, 11}, {3, 4, 9, 13}, {5, 10, 15}, {7, 14}, {12}}",False,,,,False,FlipSYTNotFound
74562,"{{1, 3, 7, 12, 15}, {2, 5, 9, 13}, {4, 8, 11}, {6, 10}, {14}}","{{1, 2, 5, 6, 10}, {3, 7, 8, 12}, {4, 11, 14}, {9, 15}, {13}}",False,,,,False,FlipSYTNotFound
74584,"{{1, 3, 5, 8, 12}, {2, 7, 11, 15}, {4, 9, 14}, {6, 13}, {10}}","{{1, 2, 3, 6, 14}, {4, 5, 7, 10}, {8, 9, 12}, {11, 13}, {15}}",False,,,,False,FlipSYTNotFound
74630,"{{1, 2, 6, 11, 13}, {3, 5, 8, 15}, {4, 9, 10}, {7, 12}, {14}}","{{1, 2, 6, 7, 9}, {3, 4, 11, 12}, {5, 13, 15}, {8, 14}, {10}}",False,,,,False,FlipSYTNotFound
74687,"{{1, 3, 6, 12, 15}, {2, 5, 9, 13}, {4, 8, 11}, {7, 10}, {14}}","{{1, 2, 5, 6, 9}, {3, 7, 8, 12}, {4, 11, 14}, {10, 15}, {13}}",False,,,,False,FlipSYTNotFound
74737,"{{1, 3, 7, 12, 15}, {2, 5, 9, 13}, {4, 6, 11}, {8, 10}, {14}}","{{1, 2, 5, 6, 8}, {3, 7, 10, 12}, {4, 11, 14}, {9, 15}, {13}}",False,,,,False,FlipSYTNotFound
74751,"{{1, 3, 6, 12, 15}, {2, 5, 9, 13}, {4, 7, 11}, {8, 10}, {14}}","{{1, 2, 5, 6, 8}, {3, 7, 9, 12}, {4, 11, 14}, {10, 15}, {13}}",False,,,,False,FlipSYTNotFound
74856,"{{1, 3, 7, 12, 15}, {2, 6, 8, 13}, {4, 9, 11}, {5, 10}, {14}}","{{1, 2, 5, 6, 11}, {3, 7, 10, 12}, {4, 13, 14}, {8, 15}, {9}}",False,,,,False,FlipSYTNotFound
74953,"{{1, 2, 4, 10, 15}, {3, 5, 6, 14}, {7, 8, 11}, {9, 13}, {12}}","{{1, 2, 3, 4, 9}, {5, 7, 11, 13}, {6, 8, 15}, {10, 14}, {12}}",False,,,,False,FlipSYTNotFound
74961,"{{1, 2, 5, 11, 13}, {3, 4, 7, 15}, {6, 8, 9}, {10, 12}, {14}}","{{1, 2, 6, 8, 10}, {3, 4, 7, 13}, {5, 12, 15}, {9, 14}, {11}}",False,,,,False,FlipSYTNotFound
75071,"{{1, 3, 7, 12, 15}, {2, 5, 8, 13}, {4, 6, 11}, {9, 10}, {14}}","{{1, 2, 5, 6, 7}, {3, 8, 10, 12}, {4, 11, 14}, {9, 15}, {13}}",False,,,,False,FlipSYTNotFound
75077,"{{1, 4, 6, 12, 15}, {2, 5, 8, 13}, {3, 7, 11}, {9, 10}, {14}}","{{1, 2, 5, 6, 7}, {3, 8, 9, 13}, {4, 11, 14}, {10, 15}, {12}}",False,,,,False,FlipSYTNotFound
75081,"{{1, 4, 8, 10, 12}, {2, 6, 9, 15}, {3, 11, 14}, {5, 13}, {7}}","{{1, 2, 3, 9, 11}, {4, 5, 7, 10}, {6, 12, 13}, {8, 14}, {15}}",False,,,,False,FlipSYTNotFound
75097,"{{1, 2, 5, 12, 15}, {3, 6, 8, 13}, {4, 7, 11}, {9, 10}, {14}}","{{1, 2, 5, 6, 7}, {3, 8, 9, 12}, {4, 13, 15}, {10, 14}, {11}}",False,,,,False,FlipSYTNotFound
75244,"{{1, 4, 7, 10, 12}, {2, 6, 8, 15}, {3, 11, 14}, {5, 13}, {9}}","{{1, 2, 3, 7, 11}, {4, 5, 8, 10}, {6, 12, 13}, {9, 14}, {15}}",False,,,,False,FlipSYTNotFound
75433,"{{1, 3, 6, 10, 13}, {2, 5, 7, 15}, {4, 9, 11}, {8, 12}, {14}}","{{1, 2, 7, 8, 12}, {3, 4, 9, 11}, {5, 13, 14}, {6, 15}, {10}}",False,,,,False,FlipSYTNotFound
75469,"{{1, 4, 8, 9, 12}, {2, 6, 10, 15}, {3, 11, 14}, {5, 13}, {7}}","{{1, 2, 3, 9, 11}, {4, 5, 8, 10}, {6, 12, 13}, {7, 14}, {15}}",False,,,,False,FlipSYTNotFound
75505,"{{1, 3, 5, 10, 12}, {2, 4, 7, 15}, {6, 11, 14}, {8, 13}, {9}}","{{1, 2, 3, 7, 14}, {4, 5, 8, 10}, {6, 9, 15}, {11, 12}, {13}}",False,,,,False,FlipSYTNotFound
75697,"{{1, 2, 4, 10, 13}, {3, 6, 8, 15}, {5, 7, 11}, {9, 12}, {14}}","{{1, 2, 7, 9, 11}, {3, 4, 8, 13}, {5, 10, 15}, {6, 14}, {12}}",False,,,,False,FlipSYTNotFound
75764,"{{1, 3, 6, 8, 12}, {2, 9, 10, 15}, {4, 11, 14}, {5, 13}, {7}}","{{1, 2, 3, 9, 14}, {4, 5, 7, 11}, {6, 10, 12}, {8, 13}, {15}}",False,,,,False,FlipSYTNotFound
75795,"{{1, 5, 6, 8, 12}, {2, 9, 10, 15}, {3, 11, 14}, {4, 13}, {7}}","{{1, 2, 3, 9, 12}, {4, 5, 7, 11}, {6, 10, 13}, {8, 14}, {15}}",False,,,,False,FlipSYTNotFound
75798,"{{1, 3, 5, 9, 13}, {2, 6, 10, 15}, {4, 8, 11}, {7, 12}, {14}}","{{1, 2, 8, 9, 14}, {3, 4, 10, 12}, {5, 11, 13}, {6, 15}, {7}}",False,,,,False,FlipSYTNotFound
75874,"{{1, 5, 6, 8, 12}, {2, 7, 10, 15}, {3, 11, 14}, {4, 13}, {9}}","{{1, 2, 3, 7, 12}, {4, 5, 9, 11}, {6, 10, 13}, {8, 14}, {15}}",False,,,,False,FlipSYTNotFound
75960,"{{1, 2, 5, 12, 15}, {3, 4, 8, 13}, {6, 7, 9}, {10, 11}, {14}}","{{1, 2, 5, 6, 10}, {3, 7, 9, 13}, {4, 12, 15}, {8, 14}, {11}}",False,,,,False,FlipSYTNotFound
75981,"{{1, 4, 5, 9, 13}, {2, 6, 10, 15}, {3, 7, 11}, {8, 12}, {14}}","{{1, 2, 8, 12, 13}, {3, 4, 9, 14}, {5, 10, 15}, {6, 11}, {7}}",False,,,,False,FlipSYTNotFound
76082,"{{1, 3, 9, 11, 15}, {2, 5, 10, 13}, {4, 7, 12}, {6, 8}, {14}}","{{1, 2, 4, 8, 10}, {3, 6, 9, 12}, {5, 11, 14}, {7, 15}, {13}}",False,,,,False,FlipSYTNotFound
76113,"{{1, 3, 9, 11, 15}, {2, 5, 10, 13}, {4, 6, 12}, {7, 8}, {14}}","{{1, 2, 4, 8, 9}, {3, 6, 10, 12}, {5, 11, 14}, {7, 15}, {13}}",False,,,,False,FlipSYTNotFound
76223,"{{1, 3, 8, 11, 15}, {2, 5, 10, 13}, {4, 7, 12}, {6, 9}, {14}}","{{1, 2, 4, 7, 10}, {3, 6, 9, 12}, {5, 11, 14}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
76233,"{{1, 3, 8, 11, 15}, {2, 5, 10, 13}, {4, 6, 12}, {7, 9}, {14}}","{{1, 2, 4, 7, 9}, {3, 6, 10, 12}, {5, 11, 14}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
76280,"{{1, 3, 7, 11, 15}, {2, 5, 10, 13}, {4, 8, 12}, {6, 9}, {14}}","{{1, 2, 4, 7, 10}, {3, 6, 8, 12}, {5, 11, 14}, {9, 15}, {13}}",False,,,,False,FlipSYTNotFound
76304,"{{1, 2, 3, 4, 15}, {5, 8, 9, 14}, {6, 10, 11}, {7, 13}, {12}}","{{1, 2, 3, 4, 9}, {5, 6, 10, 15}, {7, 8, 14}, {11, 13}, {12}}",False,,,,False,FlipSYTNotFound
76316,"{{1, 3, 4, 6, 13}, {2, 7, 10, 15}, {5, 9, 11}, {8, 12}, {14}}","{{1, 2, 7, 8, 14}, {3, 4, 9, 11}, {5, 12, 13}, {6, 15}, {10}}",False,,,,False,FlipSYTNotFound
76331,"{{1, 3, 6, 11, 15}, {2, 5, 10, 13}, {4, 8, 12}, {7, 9}, {14}}","{{1, 2, 4, 7, 9}, {3, 6, 8, 12}, {5, 11, 14}, {10, 15}, {13}}",False,,,,False,FlipSYTNotFound
76341,"{{1, 3, 5, 7, 15}, {2, 6, 9, 14}, {4, 10, 11}, {8, 13}, {12}}","{{1, 2, 3, 4, 8}, {5, 6, 12, 14}, {7, 10, 13}, {9, 11}, {15}}",False,,,,False,FlipSYTNotFound
76352,"{{1, 3, 5, 11, 15}, {2, 6, 10, 13}, {4, 8, 12}, {7, 9}, {14}}","{{1, 2, 4, 7, 9}, {3, 6, 8, 12}, {5, 13, 14}, {10, 15}, {11}}",False,,,,False,FlipSYTNotFound
76372,"{{1, 3, 7, 11, 15}, {2, 5, 10, 13}, {4, 6, 12}, {8, 9}, {14}}","{{1, 2, 4, 7, 8}, {3, 6, 10, 12}, {5, 11, 14}, {9, 15}, {13}}",False,,,,False,FlipSYTNotFound
