source_file,syt,var,lambda_column,parameter_symbol,parameter_start,parameter_end,initial_value,final_value,residual_at_parameter_end,status
"data/{2, 0}_{{1, 3, 4, 5}, {2, 6}}.csv","{{1, 3, 4, 5}, {2, 6}}",SUSYc1XM1,lambda0,h,70,0,"(-1.1383244491616755030120e+00, 0.0000000000000000e+00)","(5.0882349541653789946030e-24, 0.0000000000000000e+00)","(-2.1175823681357508476710e-22, 0.0000000000000000e+00)",Success
"data/{2, 0}_{{1, 3, 4, 5}, {2, 6}}.csv","{{1, 3, 4, 5}, {2, 6}}",SUSYc1XM2,lambda0,h,70,0,"(1.5686933712115930861360e+00, 0.0000000000000000e+00)","(1.1180339887498948482000e+00, 0.0000000000000000e+00)","(1.1570468879521824478680e-24, 0.0000000000000000e+00)",Success
"data/{2, 0}_{{1, 3, 4, 5}, {2, 6}}.csv","{{1, 3, 4, 5}, {2, 6}}",SUSYc1XM4,lambda0,h,70,0,"(-4.9086055104780770016020e+01, 0.0000000000000000e+00)","(2.1700849718747371204930e-01, 0.0000000000000000e+00)","(-3.3881317890172013562730e-21, 0.0000000000000000e+00)",Success
"data/{2, 0}_{{1, 3, 4, 5}, {2, 6}}.csv","{{1, 3, 4, 5}, {2, 6}}",SUSYc1XM5,lambda0,h,70,0,"(-3.4453861602172735273830e+01, 0.0000000000000000e+00)","(2.8654085799320644937640e-24, 0.0000000000000000e+00)","(3.4132917729012942404400e-24, 0.0000000000000000e+00)",Success
"data/{2, 0}_{{1, 3, 4, 5}, {2, 6}}.csv","{{1, 3, 4, 5}, {2, 6}}",SUSYc2XM1,lambda0,h,70,0,"(-5.1930837775419162248400e+01, 0.0000000000000000e+00)","(-2.5441174770826894973020e-24, 0.0000000000000000e+00)","(3.3881317890172013562730e-21, 0.0000000000000000e+00)",Success
"data/{2, 0}_{{1, 3, 4, 5}, {2, 6}}.csv","{{1, 3, 4, 5}, {2, 6}}",SUSYc2XM2,lambda0,h,70,0,"(-3.6032224057367327375080e+01, 0.0000000000000000e+00)","(-4.7360679774997896964040e-01, 0.0000000000000000e+00)","(0.0000000000000000e+00, -0.0000000000000000e+00)",Success
