"var","Initialvar","expression"
"b10","61.6787110129456715457356049890257689200780901404810947917752`39.72100507327511","0.005043851765643814 + 0.08070162825030103*b11 - 0.020175407062575257*b13 - 0.020175407062575257*b20 - 0.3228065130012041*b11*b20 + 0.08070162825030103*b13*b20 + 0.3228065130012041*b10*b21 + 0.020175407062575257*b14*b21"
"b11","-395.7378038280106005630838374964767268532557163650884006212661`39.74705909435366","-2.9677313630450275*b10 + 0.18548321019031422*b14 - 1.4838656815225137*b14*b20 - 0.37096642038062844*b21 + 0.7419328407612569*b13*b21"
"b13","-284.1091872305696418041387431029566980078257575254332980869195`39.99108356120075","-0.02371509881492733 + 0.3794415810388373*b11 - 0.18972079051941865*b13 + 0.9486039525970934*b20 - 1.138324743116512*b13*b20 - 0.18972079051941865*b14*b21"
"b14","-148.7400797303620968493877365743051082039549943362883814393071`40.","-0.13332653313581028*b14 - 0.5333061325432411*b14*b20 - 0.26665306627162055*b13*b21"
"b20","0.351645038161620557167180863189746140540044041318717262516`40.","0.3079195182032092 + 0.2463356145625673*b13 + 1.2316780728128367*b20 + 0.739006843687702*b14*b21"
"b21","-0.6299601348189515753061317128474458980225028318558092803465`40.","(-2*b14)/(302.82586600498405 - 3*h) - (4*b21)/(302.82586600498405 - 3*h) - h/(100.94195533499467 - h)"
