"var","Initialvar","expression"
"b10","-41.4177127589390049487407458560699051177782635840841112366842`39.48877272439959","8.035133180736382*b10 - 2.0087832951840956*b12 + 0.5021958237960239*b14 - 0.5021958237960239*b20 + 2.0087832951840956*b13*b20"
"b12","-132.7527200503321821475531368929269566624189985547564305057676`39.51732975952269","0.3169205040049204 - 0.6338410080098408*b13 - 2.535364032039363*b12*b20 + 1.2676820160196816*b14*b20"
"b13","-132.1695958295803895859445691577164964830595671418866653932915`39.991902418354734","0.6045144229792221*b12 + 0.30225721148961104*b14 - 1.5112860574480553*b20 + 1.8135432689376663*b13*b20"
"b14","-132.5020911324241634933455033764137934545789609874795160214246`40.","-1.7698765935416516*b13 - 3.539753187083303*b14*b20"
"b20","-0.4987453205455019039926979741517239272526234075122903871452`40.","(-3*b14)/(402.1414441456804 - 4*h) - (5*b20)/(402.1414441456804 - 4*h) - h/(100.5353610364201 - h)"
