var,b_final_value
SUSYc1XM1,-3.440268067092428736553415250154016666431528560542180625202928688535382929611408740914319536147957502424552046538490272147002121079365057856531986236525884071541156191411742400601224229293353402041225384305188450361913989658558127327793870698211299956559321229578775784644942810037562278892394438920694005819104145300875877506906941656228003072465855565319955873885345828652729100609103216604646230214861230222494824571236287427910746836953059403185667757087956901573799802605526521187968109536706242541705079051914665728946159579951183412146166048001144614899067125028779153428587903495891415844831891018358962276539746494443147306941006229400498319826989844420797318510581697080780849973891679480350714104541367886802578662328903645939571314360492557457311826747643583994772683526741776069774902182487850682371816541784426329515042127675273245652279731240399718018527009110405575300735532800230300146916935288076253196643725905209264296177741591361884614322008246044078659367451755199706905699204891430e+00
SUSYc1XM2,1.138796311933503069261393503485869272148352890303648772428274239680135015486299127249659150611945373739335693452856028002503075377817324635396427052730106305374740283438453526660844279835380149974775923816629932257971185211558927378465526377030569701546158694203894586331267591827546839315144394328780582622715242216539919963007383873277788465147030975275017891631740601387557434174358555531935440170750273780299395656292461678832407929805020493525711435585327586484384109005030092440092322330089503769178897064038557839221585895513874891374304978208993549513933035509851281828376638390608159342231001335529818925365114258472374550026947941990681635364546189138610556214688491953348716537974537860591052456651452684862508118846872321893979937277958949371816251371574489465376297661419561235012092632246042257649809184062792076006705758531540036771997252260790082182100867754422785449256780367613467985644143487504209961162338971558231523486545320179669197264332841850650756020199823142781696171079002310e+01
SUSYc1XM4,6.781642926028090705148461588686929500138307156174646759265411332190645510090773006656361190325394068565000206607657191379914802169178332286120258412777017401493368242104267774833489955912131206823845669587198277210410635503069245064842969763173081881813545993426919466174441422597573730550181476305692236984789091788734620824364960866579475951221080039175523097594793143830733004989915111916451082013001340594445633691438784231459847933789782572063005968799775960830834465372373043291983178805247281960525931277106790933101881716562744670606195342663034957594270044513684947495180815025424552481254061002316766380812034175379071888141121134932878673821247502605448628896207226832695719188430419564458113972856676369325540633621073108639822981724670085103048797431653039208000357906420858396770981864074969038459617661329134535248148937896645253153603533677345905020911752824175491131148560133043032457508266443887163769734100302326022425804661450429938130350579013332872932560918298666513402589616815160e+01
SUSYc1XM5,-2.418788367081299122908093969508006440698728889955384737662417639528381968860507001717963305291317245158286193203093767504591450104105890452753747330780906041900457383173192966877607046654033648607250307669538351671514250409073505988659408466842894300202290462266339972761038875790589666846848034381476657267922742767977849755357229685031288343843254161578487407231020480790780840136801686428588495482966117806439678652963762456968234972723234102470300458033559952581192464369812122197323133598115047709746196248272597022364826904364206732482008859922251873191686461574827805617461015868974785432614490412246409925962334885258275709677198816914084601244408806459154455541674098018118997690403925232021640727225377231888008047379123551140374809160194928427568771051814872103609544412245561083494434374447180320557599190439196620791001165958010629574241089054162794537876145729190362095690740947718725366884792868000051612413050561721695392907261109217063253508660511766991462558031378879356974379665873650e+01
SUSYc1XM6,-9.365443108175962860393969826308203379933195456726033133141250981951182276249241870792677015425560213717474549969138615349253553667802105194453308470783849965245862700710635478981531778102016107224630669704600480963396486960143245803907681023324631638953416388722740032325217229184088951507099920580292816779683085626296681247907878905024932684813683447678967185477075522447321140037078954081221363527789670515323498727745593867043607477749227516069270884860673043820915332576637729052632002119127609755484707319525584005780910038362004029332070320322479403387084302909686759069652737157770646915709078952423433680451890061248905191426797033700364921584761600810267604007954067648003139336294076155107536653614442031140378795145460546277997734483843801466852501028805354881068626942354244951135763462555762809788815019103813662827505249793195826329836185541605421055445867621183576016332156465264831360370955342180948837919687443303860087262224344901018519163574908479578264303803665395218066496949889570e+01
SUSYc1XM7,-9.688669873536496931253465300610932163419108629409257127198939985119624441107645007192334837054939102921757763414902843419572096270606126959897050822013010984741309967615676025631499433145842996770334658108517052864603440761773017662313609420644281245524340651515755130010595951612339726426720652030555465751393094685623632465240617983333092957456804515603420949391796004045391745439099288840962737731750745456365146693115534629291158929305993869291473277546343346578097814678790773795929650496600525439338273296709079876649618416077128465520028079997953780559797485186726100739251419485062892148266298660923115613377193384201784494026944257561614184719205947005492329839400536446343502903952542337049666856325141327583006749097572796430551550183687001026803552083579144188317270681485750704892368691426288182343086569670079253693787950492236302966989207696047856932617028446180467482968488734016130403491051418376530055507106584482635566808230376079126035653446962014307601772404018804541624979157527560e+01
SUSYc1XM8,1.327110144123081196875789404024040934786859859171047806842600539945979417948297165245920502494905625555680807877381358881239055174180290083014506369419258250779072469568535828461664554491618388385224573005530306019723715355545449705241590221173391670957346693729046677967308630552685125444628153186491316206264290117309130044756834817707535390340086291080504099729770954715377398056504812889744170635331066245773146548920411951740674477297438872036522597591096204909886812947216230208120534104031335532585009151904227773988561896000159089656872746946553425293626768339010535966972182702972998960317350423125886824480179078901692823323230285603453721744008823222843838404465221351418323028724034628695711002842464313887239105393666816933481294275806932606146993209717209448284710527800738485297733698476533421440025935451360983866332725757125422800232194045663738823726429909303839677022031315105974405696954478222747459511625981784685547190157044976235131544227888942775488959696896782349012564688138080e+02
SUSYc1XM9,2.690589726273514211258366463104159434283133018891407220696940096260039514472202578276462090178629225379331612262311111228039170710740085652434549820143815432742733274818141939324959253127250277927559029074952063808782985493486258592606683901518230820298540511370323054577191325634890314344515232274508960333816973920653980376837324666858717371933704433984508815686332913052481024387610471903891872402384529774813226951310711630211436697473227345424467149767205479352243988325559486252886254415609076002528148629198708421200108355983171592747720337766485692703375959963747878666839705982291200729581884749423974552419905961101286103421559673262140815486055583794086977252757141735601267114534353156018856195273934554353054567566171268764183113944531337432869109005968721568162313229352718163493078265371508154699690281833230593076576983884649778062195288426121242564924725496328545926475637281982771401771618344614583468961098345332650141719059916600386394727413463281230243670620828117727064399587515290e+02
SUSYc1XM10,1.004718150484572598819012819944176536061522559174444662415208856687395397798678784035299024296757004813263041768248375700774151567179300597171927441033867438997714304391152880562261037463628827419346976181688559175646945628473318305472565622169950086535796183980104634145123667460278458783810595377285235859836085204983280729680423616788506207151306899489958544163693981139660168496345602450610172081880427189479778398281945212173445747613769309530653470046530664652710859226210699471096856048861245818336531541052712716737346359197416628949801347107165421572935905359511735105921729895457546084331054019436928763515336759032270389726679808414072711955031818787560683088242610923759169521365645040465667692817834409078808275848423635439110806379624069156439988743271334849418433144841169854741872443740470253335894248396096729508373658263496232363327764625156509671616499080869169290250016038029647492237515481443569990828482087917276602150464247778188970379254863358570910299400648318051284146040334360e+02
SUSYc2XM1,1.720134033546214368276707625077008333215764280271090312601464344267691464805704370457159768073978751212276023269245136073501060539682528928265993118262942035770578095705871200300612114646676701020612692152594225180956994829279063663896935349105649978279660614789387892322471405018781139446197219460347002909552072650437938753453470828114001536232927782659977936942672914326364550304551608302323115107430615111247412285618143713955373418476529701592833878543978450786899901302763260593984054768353121270852539525957332864473079789975591706073083024000572307449533562514389576714293951747945707922415945509179481138269873247221573653470503114700249159913494922210398659255290848540390424986945839740175357052270683943401289331164451822969785657180246278728655913373821791997386341763370888034887451091243925341185908270892213164757521063837636622826139865620199859009263504555202787650367766400115150073458467644038126598321862952604632148088870795680942307161004123022039329683725877599853452849602445760e+00
