var,b_final_value
SUSYc1XM1,-2.4063023484696151274500162995888511476059364747431203262896851510980843532957166020e+00
SUSYc1XM3,-1.5641539588885238701944199341624224165868369444083033159148933463734187884413158870e+00
SUSYc1XM5,-2.9027587215682860217995027677561889279250132939905418803762496578512255354005774380e-01
SUSYc2XM1,-3.7909998262045727279454157938503555779277172080245956422588689896770220607001213780e-01
SUSYc2XM3,-2.1732508808646872144660634568868379714334427724890731473903459699427329455782694980e-01
SUSYc3XM1,6.3290046274210593460781989167178445263829598326960789094829178980669775308714817290e-01
