"{{-0.6587020567658507, -0.12636931954263125 - 0.4999971693775348*I, -0.12636931954263125 + 0.4999971693775348*I}, {-0.481260469693923}}","{{-0.7500418418022871, 0.4818451435146165 - 0.5060507310848537*I, 0.4818451435146165 + 0.5060507310848537*I}, {-0.33693462946314817}}","{{-0.3542258811451783 - 0.5006383715220052*I, -0.3542258811451783 + 0.5006383715220052*I, -0.09179230498263188}, {-0.18049577944103262}}","{{-0.21990357430657448, 0.43270039933723864 - 0.5030656947652822*I, 0.43270039933723864 + 0.5030656947652822*I}, {-4.04191729245307*^-26}}","{{-0.43270039933723864 - 0.5030656947652822*I, -0.43270039933723864 + 0.5030656947652822*I, 0.21990357430657448}, {3.4542147569820456*^-35}}","{{0.09179230498263188, 0.3542258811451783 - 0.5006383715220052*I, 0.3542258811451783 + 0.5006383715220052*I}, {0.18049577944103262}}","{{-0.4818451435146165 - 0.5060507310848537*I, -0.4818451435146165 + 0.5060507310848537*I, 0.7500418418022871}, {0.33693462946314817}}","{{0.12636931954263125 - 0.4999971693775348*I, 0.12636931954263125 + 0.4999971693775348*I, 0.6587020567658507}, {0.481260469693923}}","{{-0.7102684348315292, -0.18516289911614908, 0.13563063114474808}, {-0.632900462742106}}","{{-0.5104595017279788, -0.07475425558696323, 0.2236218910045534}, {0.23830568207418637}}","{{-0.7384364226596745, -0.21318594581456005, 0.5749786196903977}, {-0.6040960979301843}}","{{-0.5359624060053391, -0.08074299498240822, 0.7458048458613278}, {0.5163977794943223}}","{{-0.7458048458613278, 0.08074299498240822, 0.5359624060053391}, {-0.5163977794943223}}","{{-0.5749786196903977, 0.21318594581456005, 0.7384364226596745}, {0.6040960979301843}}","{{-0.2236218910045534, 0.07475425558696323, 0.5104595017279788}, {-0.23830568207418637}}","{{-0.13563063114474808, 0.18516289911614908, 0.7102684348315292}, {0.632900462742106}}"
"{{-0.6570337386182773 + 0.*I, -0.12758830709932817 + 0.5*I, -0.12758830709932817 - 0.5*I}, {-0.48055192811196085 + 0.*I}}","{{-0.7490194184977085 + 0.*I, 0.49369508368631077 + 0.5*I, 0.49369508368631077 - 0.5*I}, {-0.33478125110303547 + 0.*I}}","{{-0.09147668494363433 + 0.*I, -0.3567174818630139 + 0.5*I, -0.3567174818630139 - 0.5*I}, {-0.17989028391676076 + 0.*I}}","{{-0.2201105853132386 + 0.*I, 0.4402211706264776 + 0.5*I, 0.4402211706264776 - 0.5*I}, {0. + 0.*I}}","{{0.22011058531323885 + 0.*I, -0.44022117062647753 + 0.5*I, -0.44022117062647753 - 0.5*I}, {0. + 0.*I}}","{{0.09147668494363426 + 0.*I, 0.3567174818630143 + 0.5*I, 0.3567174818630143 - 0.5*I}, {0.17989028391676096 + 0.*I}}","{{0.7490194184977089 + 0.*I, -0.4936950836863106 + 0.5*I, -0.4936950836863106 - 0.5*I}, {0.334781251103036 + 0.*I}}","{{0.6570337386182777 + 0.*I, 0.127588307099328 + 0.5*I, 0.127588307099328 - 0.5*I}, {0.480551928111961 + 0.*I}}","{{-0.7088894015349547 + 0.*I, -0.18522955667097535 + 0.*I, 0.1352024443557354 + 0.*I}, {-0.6322541936408534 + 0.*I}}","{{-0.5095702061322802 + 0.*I, -0.07484103303511284 + 0.*I, 0.2232008701685106 + 0.*I}, {0.23820278704935682 + 0.*I}}","{{-0.7367390759421706 + 0.*I, -0.21304736761107468 + 0.*I, 0.573467425678733 + 0.*I}, {-0.6032529556786619 + 0.*I}}","{{-0.5347675681064816 + 0.*I, -0.08070507069790143 + 0.*I, 0.7438938789982856 + 0.*I}, {0.5154539576302241 + 0.*I}}","{{-0.7438938789982859 + 0.*I, 0.08070507069790152 + 0.*I, 0.534767568106482 + 0.*I}, {-0.5154539576302241 + 0.*I}}","{{-0.573467425678733 + 0.*I, 0.21304736761107473 + 0.*I, 0.736739075942171 + 0.*I}, {0.6032529556786621 + 0.*I}}","{{-0.22320087016851045 + 0.*I, 0.07484103303511304 + 0.*I, 0.5095702061322801 + 0.*I}, {-0.23820278704935666 + 0.*I}}","{{-0.13520244435573536 + 0.*I, 0.1852295566709755 + 0.*I, 0.7088894015349549 + 0.*I}, {0.6322541936408538 + 0.*I}}"
