"{{-0.554592452256983 - 0.5124659144769435*I, -0.554592452256983 + 0.5124659144769435*I}, {}}","{{-2.714472755840323*^-27 - 0.5*I, -2.714472755840323*^-27 + 0.5*I}, {}}","{{0.554592452256983 - 0.5124659144769435*I, 0.554592452256983 + 0.5124659144769435*I}, {}}","{{-0.5820047629599768, -0.09416743966176973}, {}}","{{-0.6310844497405347, 0.19807174784831533}, {}}","{{-0.6881909602355868, 0.6881909602355868}, {}}","{{-0.16245984811645317, 0.16245984811645317}, {}}","{{-0.19807174784831533, 0.6310844497405347}, {}}","{{0.09416743966176973, 0.5820047629599768}, {}}"
"{{-0.5773502691896258 + 0.5*I, -0.5773502691896258 - 0.5*I}}","{{0. + 0.5*I, 0. - 0.5*I}}","{{0.5773502691896258 + 0.5*I, 0.5773502691896258 - 0.5*I}}","{{-0.5815438944816036 + 0.*I, -0.09437019330051895 + 0.*I}}","{{-0.6303512882779532 + 0.*I, 0.1977444787309064 + 0.*I}}","{{-0.6871017883301571 + 0.*I, 0.6871017883301571 + 0.*I}}","{{-0.16232104011857196 + 0.*I, 0.16232104011857157 + 0.*I}}","{{-0.19774447873090645 + 0.*I, 0.6303512882779536 + 0.*I}}","{{0.09437019330051898 + 0.*I, 0.5815438944816037 + 0.*I}}"
