1,"{{{-1.3979487774580510296374825557286498659993258439216603831878`37.1204465615158 - 0.5004661600488569514503871447143381118109344039809485353735`36.67433002007033*I, -1.3979487774580510296374825557286498659993258439216603831878`37.1204465615158 + 0.5004661600488569514503871447143381118109344039809485353735`36.67433002007033*I, -1.3769521576348799662244264304736713244664909402091655398215`37.186282340660256 - 1.4896135860090837508301276022472354771067178741686617579458`37.22043711438895*I, -1.3769521576348799662244264304736713244664909402091655398215`37.186282340660256 + 1.4896135860090837508301276022472354771067178741686617579458`37.22043711438895*I, -0.1580110957587877070917503777687653601504672066930257633281`36.36359280918598 - 1.5001196552243186878062455303114297003409175839552933308421`37.341031125808286*I, -0.1580110957587877070917503777687653601504672066930257633281`36.36359280918598 + 1.5001196552243186878062455303114297003409175839552933308421`37.341031125808286*I, -0.1579150164685112733828172156005208480039849246724809535029`36.27280560717255 - 0.4999999999999995132521915276554729467728249843205035644081`36.773352181567866*I, -0.1579150164685112733828172156005208480039849246724809535029`36.27280560717255 + 0.4999999999999995132521915276554729467728249843205035644081`36.773352181567866*I, 1.1842957106302789442945255158785310134586604910144930670511`37.3937100594002 - 0.5001157975766400797018497282514974968400773855241187489313`37.01932047626531*I, 1.1842957106302789442945255158785310134586604910144930670511`37.3937100594002 + 0.5001157975766400797018497282514974968400773855241187489313`37.01932047626531*I, 1.1953388431361905401930748220036664624911734020570710542706`37.41058913291974 - 1.4825896712795523690123072637580868483340659314787754447277`37.504119070776476*I, 1.1953388431361905401930748220036664624911734020570710542706`37.41058913291974 + 1.4825896712795523690123072637580868483340659314787754447277`37.504119070776476*I}, {-1.2566475112612805133548904033767985147343527725217336492111`38.71407466144431, -1.2112122405649311103668038932462779784394275722886213623441`38.343176357190224 - 1.2790030103322267859291427645720554925344058598692095093579`38.36682767267202*I, -1.2112122405649311103668038932462779784394275722886213623441`38.343176357190224 + 1.2790030103322267859291427645720554925344058598692095093579`38.36682767267202*I, 0.834302018176100141678549730430995727627713939234393040566`39.3380060493909}, {0.2554474488189149017358658966259099543094635009765625`40.}}}","{{-1.4133950566946356 + 1.5*I, -1.4133950566946356 + 0.5*I, -1.4133950566946356 - 0.5*I, -1.4133950566946356 - 1.5*I, -0.1314929578242749 + 1.5*I, -0.1314929578242749 + 0.5*I, -0.1314929578242749 - 0.5*I, -0.1314929578242749 - 1.5*I, 1.1551816671022388 + 1.5*I, 1.1551816671022388 + 0.5*I, 1.1551816671022388 - 0.5*I, 1.1551816671022388 - 1.5*I}, {0.8211500939110931 + 0.*I, -1.2850638320726253 + 1.*I, -1.2850638320726253 + 0.*I, -1.2850638320726253 - 1.*I}, {0.29459661241516344 + 0.*I}}"
2,"{{{-1.2590990922243736245092291930345855520525368312100729381802`38.434745047015824 - 1.4842110024477368872830190536426703172701109973307512607776`38.50618078288623*I, -1.2590990922243736245092291930345855520525368312100729381802`38.434745047015824 + 1.4842110024477368872830190536426703172701109973307512607776`38.50618078288623*I, -1.2549620705230673349239484247980257315054909887138602421045`38.28015340035314 - 0.500360989355366893524531284928742416588494504705672093863`37.880806242854156*I, -1.2549620705230673349239484247980257315054909887138602421045`38.28015340035314 + 0.500360989355366893524531284928742416588494504705672093863`37.880806242854156*I, -0.5000000000000000439988589601904026732990237592077562378092`37.7456865551528*I, 0.5000000000000000439988589601904026732990237592077562378092`37.7456865551528*I, -1.5000766422616394708007677056668468277188054830373893991164`38.38920882180066*I, 1.5000766422616394708007677056668468277188054830373893991164`38.38920882180066*I, 1.254962070523067334923948424798025731505490988713860242126`38.28015340035314 - 0.5003609893553668935245312849287424165884945047056720938578`37.880806242854156*I, 1.254962070523067334923948424798025731505490988713860242126`38.28015340035314 + 0.5003609893553668935245312849287424165884945047056720938578`37.880806242854156*I, 1.2590990922243736245092291930345855520525368312100729381956`38.434745047015824 - 1.4842110024477368872830190536426703172701109973307512607679`38.50618078288623*I, 1.2590990922243736245092291930345855520525368312100729381956`38.434745047015824 + 1.4842110024477368872830190536426703172701109973307512607679`38.50618078288623*I}, {-0.80231588358012739020568820178249193964440357965433928246`39.38840576692167 - 0.7244403194346799554180331003381649637934249383012965582506`39.34406299023337*I, -0.80231588358012739020568820178249193964440357965433928246`39.38840576692167 + 0.7244403194346799554180331003381649637934249383012965582506`39.34406299023337*I, 0.8023158835801273902056882017824919396444035796543392824061`39.38840576692167 - 0.7244403194346799554180331003381649637934249383012965582726`39.34406299023337*I, 0.8023158835801273902056882017824919396444035796543392824061`39.38840576692167 + 0.7244403194346799554180331003381649637934249383012965582726`39.34406299023337*I}, {7.5081516451034498905087004924856287726766536848740095677591`40.*^-57}}}","{{-1.157467485655482 + 1.5*I, -1.157467485655482 + 0.5*I, -1.157467485655482 - 0.5*I, -1.157467485655482 - 1.5*I, 0. + 1.5*I, 0. + 0.5*I, 0. - 0.5*I, 0. - 1.5*I, 1.157467485655482 + 1.5*I, 1.157467485655482 + 0.5*I, 1.157467485655482 - 0.5*I, 1.157467485655482 - 1.5*I}, {0. + 0.*I, 0. + 1.*I, 0. + 0.*I, 0. - 1.*I}, {0. + 0.*I}}"
3,"{{{-1.195338843136190552165637282122100673469568489566080746003`37.410589132919746 - 1.4825896712795528828719559883335529168482484154299431254934`37.504119070776476*I, -1.195338843136190552165637282122100673469568489566080746003`37.410589132919746 + 1.4825896712795528828719559883335529168482484154299431254934`37.504119070776476*I, -1.1842957106302787823431087451472130895539041327757214665026`37.3937100594002 - 0.5001157975766404388199214433689793378456122467924088651506`37.01932047626531*I, -1.1842957106302787823431087451472130895539041327757214665026`37.3937100594002 + 0.5001157975766404388199214433689793378456122467924088651506`37.01932047626531*I, 0.1579150164685123057446451047846143132793767596366225950912`36.27280560717255 - 0.4999999999999991301950002950151555484689942272060300877686`36.77335218156786*I, 0.1579150164685123057446451047846143132793767596366225950912`36.27280560717255 + 0.4999999999999991301950002950151555484689942272060300877686`36.77335218156786*I, 0.1580110957587872921278585908238199479726427395504529563673`36.36359280918597 - 1.5001196552243162351933201332479943145746463757084010404908`37.341031125808286*I, 0.1580110957587872921278585908238199479726427395504529563673`36.36359280918597 + 1.5001196552243162351933201332479943145746463757084010404908`37.341031125808286*I, 1.3769521576348794219482824997141368520885728167427844507163`37.18628234066027 - 1.4896135860090835713222520511520421413989837181110432327587`37.22043711438897*I, 1.3769521576348794219482824997141368520885728167427844507163`37.18628234066027 + 1.4896135860090835713222520511520421413989837181110432327587`37.22043711438897*I, 1.3979487774580513081931657190772560230313283180221852658866`37.120446561515806 - 0.5004661600488573591971127337791773697552714779040040178398`36.674330020070336*I, 1.3979487774580513081931657190772560230313283180221852658866`37.120446561515806 + 0.5004661600488573591971127337791773697552714779040040178398`36.674330020070336*I}, {-0.8343020181761015148043809240425688909656933344694313123981`39.338006049390906, 1.2112122405649314081160540794296497021279972751909933307819`38.343176357190224 - 1.2790030103322262417473642569105174754896662261351764794472`38.36682767267202*I, 1.2112122405649314081160540794296497021279972751909933307819`38.343176357190224 + 1.2790030103322262417473642569105174754896662261351764794472`38.36682767267202*I, 1.2566475112612818090862993830280137617233045376681738175008`38.714074661444315}, {-0.255447448818915845425436828008969314396381378173828125`40.}}}","{{-1.1551816671022388 + 1.5*I, -1.1551816671022388 + 0.5*I, -1.1551816671022388 - 0.5*I, -1.1551816671022388 - 1.5*I, 0.1314929578242749 + 1.5*I, 0.1314929578242749 + 0.5*I, 0.1314929578242749 - 0.5*I, 0.1314929578242749 - 1.5*I, 1.4133950566946356 + 1.5*I, 1.4133950566946356 + 0.5*I, 1.4133950566946356 - 0.5*I, 1.4133950566946356 - 1.5*I}, {-0.8211500939110931 + 0.*I, 1.2850638320726253 + 1.*I, 1.2850638320726253 + 0.*I, 1.2850638320726253 - 1.*I}, {-0.29459661241516344 + 0.*I}}"
4,"{{{-1.6911721314757212836896845804031638220099984001482105635216`36.78515114227405, -1.616526079656283516079655402735935923824820648018636907586`36.57485853840524 - 1.0622614022787434056043769918828317709681237948567875274385`36.392507224352684*I, -1.616526079656283516079655402735935923824820648018636907586`36.57485853840524 + 1.0622614022787434056043769918828317709681237948567875274385`36.392507224352684*I, -0.6753816954443330529452785387746817744497741211343629670602`36.4584473560317 - 0.4999999653564972330809473366223787075039512024792065650254`36.32786804429902*I, -0.6753816954443330529452785387746817744497741211343629670602`36.4584473560317 + 0.4999999653564972330809473366223787075039512024792065650254`36.32786804429902*I, -0.6748247143730578036329806838739117898894148055792732868926`36.47925568098035 - 1.4988287749051190458678827944762305935508684517205203485506`36.82581672363336*I, -0.6748247143730578036329806838739117898894148055792732868926`36.47925568098035 + 1.4988287749051190458678827944762305935508684517205203485506`36.82581672363336*I, 1.0398779335772758047519459613371966669284173282660462862522`37.68631243726461, 1.0399364179139225385284735845715330240751528674562925855793`37.06698442850563 - 0.9999724699267429175710312128977560316706232723122004349074`37.049965684992266*I, 1.0399364179139225385284735845715330240751528674562925855793`37.06698442850563 + 0.9999724699267429175710312128977560316706232723122004349074`37.049965684992266*I, 1.0908752716791331250392811693270167924363497510838161868161`37.017809755041704 - 2.0054920133022389474321594440858943548783364565856052448009`37.28225559468826*I, 1.0908752716791331250392811693270167924363497510838161868161`37.017809755041704 + 2.0054920133022389474321594440858943548783364565856052448009`37.28225559468826*I}, {-1.6866585421623256842407496992199228068891384832826050442737`38.263056668268135, -1.6353109913001990574417963957486859339746233107005782681645`38.14212216619532 - 1.200938289872309600743236684733000644185681587459133930042`38.00804250223086*I, -1.6353109913001990574417963957486859339746233107005782681645`38.14212216619532 + 1.200938289872309600743236684733000644185681587459133930042`38.00804250223086*I, 0.3110089294433583626267559236363269256798437431928761639356`38.969243041698}, {-0.2281320269487966678756407645778381265699863433837890625`40.}}}","{{-1.73911647443475 + 1.*I, -1.73911647443475 + 0.*I, -1.73911647443475 - 1.*I, -0.6346562695896637 + 1.5*I, -0.6346562695896637 + 0.5*I, -0.6346562695896637 - 0.5*I, -0.6346562695896637 - 1.5*I, 1.0013309366550796 + 2.*I, 1.0013309366550796 + 1.*I, 1.0013309366550796 + 0.*I, 1.0013309366550796 - 1.*I, 1.0013309366550796 - 2.*I}, {0.3080953468506306 + 0.*I, -1.7374639690591827 + 1.*I, -1.7374639690591827 + 0.*I, -1.7374639690591827 - 1.*I}, {-0.2032944821268227 + 0.*I}}"
5,"{{{-1.4436184897676069447034433849010489687505972842561884541998`37.86804392127544, -1.4315188889176076585754277930412424675595407369596490697279`37.61398805705166 - 1.0101715083445151225319026149282707491891294381500882901072`37.46258608930561*I, -1.4315188889176076585754277930412424675595407369596490697279`37.61398805705166 + 1.0101715083445151225319026149282707491891294381500882901072`37.46258608930561*I, -0.5364549240742967038506986707799692044807400575621962505516`37.381818410926456 - 0.5000000004312512213607115181196573177196776586397065495238`37.35125517963933*I, -0.5364549240742967038506986707799692044807400575621962505516`37.381818410926456 + 0.5000000004312512213607115181196573177196776586397065495238`37.35125517963933*I, -0.5362115780988980907969558731020818282569563434039304825002`37.40525129139614 - 1.4996779940840610914780820655639046808977500450397412221836`37.85191312297034*I, -0.5362115780988980907969558731020818282569563434039304825002`37.40525129139614 + 1.4996779940840610914780820655639046808977500450397412221836`37.85191312297034*I, 1.074267461181643244590835645724636462640336359278249632579`38.589598514926315, 1.0743252524106563625228937054638347544417627207312227208338`37.970469328122434 - 0.9999390879093922430349777646340228777390661817372573683799`37.93930708942863*I, 1.0743252524106563625228937054638347544417627207312227208338`37.970469328122434 + 0.9999390879093922430349777646340228777390661817372573683799`37.93930708942863*I, 1.1212082650205453004947594306070573705739456954748998075708`37.82139997793182 - 2.0007635779122589513967144987422385712388339425273233937741`38.072909460273834*I, 1.1212082650205453004947594306070573705739456954748998075708`37.82139997793182 + 2.0007635779122589513967144987422385712388339425273233937741`38.072909460273834*I}, {-1.2372348778930024773856777072409938331145758167283269506386`38.713178411857804 - 0.6971410587708112235749147399212607084320778904598278835132`38.46404691917483*I, -1.2372348778930024773856777072409938331145758167283269506386`38.713178411857804 + 0.6971410587708112235749147399212607084320778904598278835132`38.46404691917483*I, 0.2505801019878373654516338242539199000297700102504623673053`38.50166723463896 - 0.7351972482226681200858184951285628112506193846674320894472`38.96912452583258*I, 0.2505801019878373654516338242539199000297700102504623673053`38.50166723463896 + 0.7351972482226681200858184951285628112506193846674320894472`38.96912452583258*I}, {-0.422207152954768349939485005961614660918712615966796875`40.}}}","{{-1.351420887493871 + 1.*I, -1.351420887493871 + 0.*I, -1.351420887493871 - 1.*I, -0.5625352405786131 + 1.5*I, -0.5625352405786131 + 0.5*I, -0.5625352405786131 - 0.5*I, -0.5625352405786131 - 1.5*I, 0.9962234817614637 + 2.*I, 0.9962234817614637 + 1.*I, 0.9962234817614637 + 0.*I, 0.9962234817614637 - 1.*I, 0.9962234817614637 - 2.*I}, {-0.03545909295815773 + 0.*I, -0.7051366471973541 + 1.*I, -0.7051366471973541 + 0.*I, -0.7051366471973541 - 1.*I}, {-0.20287848151795684 + 0.*I}}"
6,"{{{-1.3354710295500437305522335366986374731227445290669259377192`37.39432988883751, -1.3238592096082638018376447913286127170570223090256253261161`37.0990914436862 - 0.9901719065114629605928955282185175854939345298782344030695`36.972960242899205*I, -1.3238592096082638018376447913286127170570223090256253261161`37.0990914436862 + 0.9901719065114629605928955282185175854939345298782344030695`36.972960242899205*I, -0.3615378839529864790690379131006228679299675565852262912022`36.38592857405706 - 0.499999999999522536942380365019915795842908656796519220225`36.52674476658314*I, -0.3615378839529864790690379131006228679299675565852262912022`36.38592857405706 + 0.499999999999522536942380365019915795842908656796519220225`36.52674476658314*I, -0.3614588128257373439206441631196829959035651298648826630074`36.5730810795525 - 1.4996795978109883172186916590905410317601982046439600626428`37.1910207449001*I, -0.3614588128257373439206441631196829959035651298648826630074`36.5730810795525 + 1.4996795978109883172186916590905410317601982046439600626428`37.1910207449001*I, 1.1630469507771366301682557954355608632226350211384869264768`37.59659755488538, 1.163111143915750473106392043548255530128951423440244514036`37.107730855266716 - 0.9998236403513060540593935220572912381462022425635203611321`37.04203303971234*I, 1.163111143915750473106392043548255530128951423440244514036`37.107730855266716 + 0.9998236403513060540593935220572912381462022425635203611321`37.04203303971234*I, 1.1964868386046186025632426399978833240650710954586213089482`37.30887152821982 - 1.9867671881644979571419842419901715887244094242222327729367`37.529110581424945*I, 1.1964868386046186025632426399978833240650710954586213089482`37.30887152821982 + 1.9867671881644979571419842419901715887244094242222327729367`37.529110581424945*I}, {-1.2558790383598947319863616505109765552865582921412412656435`39.26404904284824, 0.7018039842744971272700752975295290648160030464600230305548`38.30042797042234 - 1.3436594074090989726942649049409951337799594856120771857066`38.58250133808301*I, 0.7018039842744971272700752975295290648160030464600230305548`38.30042797042234 + 1.3436594074090989726942649049409951337799594856120771857066`38.58250133808301*I, 0.7583912167986119978087442720882358973177093444034868712005`38.70114336472318}, {-0.67912625295598993968582135494216345250606536865234375`40.}}}","{{-1.323946972913166 + 1.*I, -1.323946972913166 + 0.*I, -1.323946972913166 - 1.*I, -0.37296648470793303 + 1.5*I, -0.37296648470793303 + 0.5*I, -0.37296648470793303 - 0.5*I, -0.37296648470793303 - 1.5*I, 1.1655566525688423 + 2.*I, 1.1655566525688423 + 1.*I, 1.1655566525688423 + 0.*I, 1.1655566525688423 - 1.*I, 1.1655566525688423 - 2.*I}, {-1.2270593882678995 + 0.*I, 0.7880446574675627 + 1.*I, 0.7880446574675627 + 0.*I, 0.7880446574675627 - 1.*I}, {-0.723283376834034 + 0.*I}}"
7,"{{{-1.796695736121445550670919369802827616188960777142758120354`37.145190249155156, -1.722056080642282513584201979402256881448834161519016164331`36.783383067538374 - 1.0735224356281539357920486099715522084599782804985290387621`36.57814690213596*I, -1.722056080642282513584201979402256881448834161519016164331`36.783383067538374 + 1.0735224356281539357920486099715522084599782804985290387621`36.57814690213596*I, -0.0045551442057707621914407430412417910464169608951160776555`33.83066084554663 - 1.4998784997310640595897483603114909928311364392578328381678`36.34821479491913*I, -0.0045551442057707621914407430412417910464169608951160776555`33.83066084554663 + 1.4998784997310640595897483603114909928311364392578328381678`36.34821479491913*I, -0.0045160920232432224198186764734055345590911808366987774811`33.84862772200789 - 0.5000000000000000673884605831456812238780832366532530660373`35.89283494349409*I, -0.0045160920232432224198186764734055345590911808366987774811`33.84862772200789 + 0.5000000000000000673884605831456812238780832366532530660373`35.89283494349409*I, 0.5758452500254714710573224695455487975925136861378712469609`36.181805981731436 - 2.0398145740339749721624282462140589273910527064702783414388`36.731090883307786*I, 0.5758452500254714710573224695455487975925136861378712469609`36.181805981731436 + 2.0398145740339749721624282462140589273910527064702783414388`36.731090883307786*I, 0.6154217452477825656751792665157890554787813317291943438745`36.0284885941135 - 0.999999489380021319328153318178601634703532642925807946134`36.23931553485551*I, 0.6154217452477825656751792665157890554787813317291943438745`36.0284885941135 + 0.999999489380021319328153318178601634703532642925807946134`36.23931553485551*I, 0.6154221872342451984619375084094251385265882119510875887299`36.55696078088395}, {-1.6913469126850693674946113717781245597284990023807531991973`38.5232244432664, -1.6462052621280141257314066339554544092398087510078641923151`38.235496188613354 - 1.2362809831008806093414506562202930000979552207781633817955`38.11112939185629*I, -1.6462052621280141257314066339554544092398087510078641923151`38.235496188613354 + 1.2362809831008806093414506562202930000979552207781633817955`38.11112939185629*I, 0.4617690527745261681733911806307691077832736699238253338275`39.28870817327374}, {-0.1215211964147777379263715147317270748317241668701171875`40.}}}","{{-1.8560723159070796 + 1.*I, -1.8560723159070796 + 0.*I, -1.8560723159070796 - 1.*I, -0.017555839276680616 + 1.5*I, -0.017555839276680616 + 0.5*I, -0.017555839276680616 - 0.5*I, -0.017555839276680616 - 1.5*I, 0.6960953782919655 + 2.*I, 0.6960953782919655 + 1.*I, 0.6960953782919655 + 0.*I, 0.6960953782919655 - 1.*I, 0.6960953782919655 - 2.*I}, {0.457788992595695 + 0.*I, -1.728650304440634 + 1.*I, -1.728650304440634 + 0.*I, -1.728650304440634 - 1.*I}, {-0.08882083166338728 + 0.*I}}"
8,"{{{-1.5651975943616867768201450949006938602290016881773864424377`38.368227821490514, -1.5450317825449173872246919217597110882001318371286164231395`37.951826774990884 - 1.0169234498180579206599865558771651064802166218146671619772`37.77017761944574*I, -1.5450317825449173872246919217597110882001318371286164231395`37.951826774990884 + 1.0169234498180579206599865558771651064802166218146671619772`37.77017761944574*I, 0.1096216844492536093520633634756517141560459162313687073763`36.34727902509191 - 1.499949835064663279306450996926619007083340711363570725586`37.48345928850215*I, 0.1096216844492536093520633634756517141560459162313687073763`36.34727902509191 + 1.499949835064663279306450996926619007083340711363570725586`37.48345928850215*I, 0.1096592703218413517760300211950856203289126877463224212752`36.535455799430125 - 0.4999999999999993987125912051288382403477016191037807115301`37.19438045202583*I, 0.1096592703218413517760300211950856203289126877463224212752`36.535455799430125 + 0.4999999999999993987125912051288382403477016191037807115301`37.19438045202583*I, 0.6738875228119977869523317746586652536504312374194904000304`37.244683996555025 - 2.0392660665706932457880450892018724001998209528618307832926`37.725570473801774*I, 0.6738875228119977869523317746586652536504312374194904000304`37.244683996555025 + 2.0392660665706932457880450892018724001998209528618307832926`37.725570473801774*I, 0.6978760345334295295021447272916907672407785643641363612409`37.19282893995705 - 1.0000012517115561946149147262567948649713142424386307307802`37.349051198909784*I, 0.6978760345334295295021447272916907672407785643641363612409`37.19282893995705 + 1.0000012517115561946149147262567948649713142424386307307802`37.349051198909784*I, 0.6978765772378025641188435295966713313487585657412659162778`37.80143873322015}, {-1.2149520333159987699036621315806854619696580114450594768898`38.91359835556742 - 0.7169827946051468053416481796528057334573706704896442973297`38.684547957428954*I, -1.2149520333159987699036621315806854619696580114450594768898`38.91359835556742 + 0.7169827946051468053416481796528057334573706704896442973297`38.684547957428954*I, 0.4396564753353245558507842927894150320802969478057365602231`38.84235868484642 - 0.728385974390893659901512100010555537238401398438648517896`39.06160678548509*I, 0.4396564753353245558507842927894150320802969478057365602231`38.84235868484642 + 0.728385974390893659901512100010555537238401398438648517896`39.06160678548509*I}, {-0.371093983373715852192020747679634951055049896240234375`40.}}}","{{-1.4703570076757222 + 1.*I, -1.4703570076757222 + 0.*I, -1.4703570076757222 - 1.*I, 0.05488780997337597 + 1.5*I, 0.05488780997337597 + 0.5*I, 0.05488780997337597 - 0.5*I, 0.05488780997337597 - 1.5*I, 0.7100781751295292 + 2.*I, 0.7100781751295292 + 1.*I, 0.7100781751295292 + 0.*I, 0.7100781751295292 - 1.*I, 0.7100781751295292 - 2.*I}, {0.03994135151214973 + 0.*I, -0.5361588593514689 + 1.*I, -0.5361588593514689 + 0.*I, -0.5361588593514689 - 1.*I}, {-0.10408370120375492 + 0.*I}}"
9,"{{{-1.46492730983113447112068270057168303772383563003081631342`37.877024131113174, -1.4435507043267488842686584720879605027292149004467335378236`37.466795747539344 - 0.9956661490968757767355147410454516953151501760150745282931`37.3054774467073*I, -1.4435507043267488842686584720879605027292149004467335378236`37.466795747539344 + 0.9956661490968757767355147410454516953151501760150745282931`37.3054774467073*I, 0.3104876490653039504540467498459928726072596179445705479836`36.008505777447894 - 1.4999577054885357803043869154798961735444399909032054993693`36.69254046182468*I, 0.3104876490653039504540467498459928726072596179445705479836`36.008505777447894 + 1.4999577054885357803043869154798961735444399909032054993693`36.69254046182468*I, 0.3107066181444691131956738298001114076874525343723668440221`36.12802385367739 - 0.50000000000002326445837429695239997774448766562884113955`36.33464335405677*I, 0.3107066181444691131956738298001114076874525343723668440221`36.12802385367739 + 0.50000000000002326445837429695239997774448766562884113955`36.33464335405677*I, 0.741755619462100611506405012128118960409606699299551116006`36.57100717911997 - 2.0087700608688978103571702575613855028892764495878041375139`37.00367656088646*I, 0.741755619462100611506405012128118960409606699299551116006`36.57100717911997 + 2.0087700608688978103571702575613855028892764495878041375139`37.00367656088646*I, 0.7630606938025051228861890880767441224334464569589042291643`36.35736585123519 - 1.0000068206499328644271711587594130474530945803351169404553`36.474809730309524*I, 0.7630606938025051228861890880767441224334464569589042291643`36.35736585123519 + 1.0000068206499328644271711587594130474530945803351169404553`36.474809730309524*I, 0.7630629744653453439137604532407422923303357523585673591597`36.93528589759992}, {-1.2095215138525878612636110018068937053387657229626775290726`39.262445340590446, 0.8307736208329973048770960921783183115582551212589570984698`38.29397964222518 - 1.2835024791006213094390584083607268964838155986428487490791`38.4828936559465*I, 0.8307736208329973048770960921783183115582551212589570984698`38.29397964222518 + 1.2835024791006213094390584083607268964838155986428487490791`38.4828936559465*I, 0.874085106045535046936163465007172961471828234351013332133`38.77517926201299}, {-0.631182032470115839117852374329231679439544677734375`40.}}}","{{-1.4633890966720124 + 1.*I, -1.4633890966720124 + 0.*I, -1.4633890966720124 - 1.*I, 0.24260438428730968 + 1.5*I, 0.24260438428730968 + 0.5*I, 0.24260438428730968 - 0.5*I, 0.24260438428730968 - 1.5*I, 0.8792056048737118 + 2.*I, 0.8792056048737118 + 1.*I, 0.8792056048737118 + 0.*I, 0.8792056048737118 - 1.*I, 0.8792056048737118 - 2.*I}, {-1.1738033020722158 + 0.*I, 0.8960021801162275 + 1.*I, 0.8960021801162275 + 0.*I, 0.8960021801162275 - 1.*I}, {-0.656351931525105 + 0.*I}}"
10,"{{{-1.7748417497324754265658212676209098459004449382042978477264`37.184248888815944, -1.7018003293063777977990161712249312748531216692390490831071`36.80308944281012 - 1.0676967658124835711772075972600840808907117652556156205492`36.60062876664433*I, -1.7018003293063777977990161712249312748531216692390490831071`36.80308944281012 + 1.0676967658124835711772075972600840808907117652556156205492`36.60062876664433*I, -0.4450028828093070000907570417087566374405350716758492820842`36.46483582527117 - 2.0062907283719887609154908576705469268281175720742214024208`37.11886686700428*I, -0.4450028828093070000907570417087566374405350716758492820842`36.46483582527117 + 2.0062907283719887609154908576705469268281175720742214024208`37.11886686700428*I, -0.4346439374288226476631035600553877522235993384272374746377`36.451708482645515 - 0.9999999944680346812306810924363468644036547197053893334596`36.813574853936416*I, -0.4346439374288226476631035600553877522235993384272374746377`36.451708482645515 + 0.9999999944680346812306810924363468644036547197053893334596`36.813574853936416*I, -0.4346439297498581196302911736338755532348992030571686421312`37.05121734700401, 1.307155967824452915776634943506471697496742394194362718287`37.205772355114206 - 0.5003515854965095638798820665570470198233568555264410822909`36.78872022539743*I, 1.307155967824452915776634943506471697496742394194362718287`37.205772355114206 + 0.5003515854965095638798820665570470198233568555264410822909`36.78872022539743*I, 1.3086774828421779232009466316690722955818735620845682877668`37.18139213994073 - 1.4768323156416922880719079207819975128588746906802602713948`37.23389069685139*I, 1.3086774828421779232009466316690722955818735620845682877668`37.18139213994073 + 1.4768323156416922880719079207819975128588746906802602713948`37.23389069685139*I}, {-1.6940469483869352707495038060320733675536095255863788861721`38.585419938457306, -1.6528266791360854605014392691024369776993029812254979340578`38.2896357233922 - 1.235488530774975425334554685248285986166867800557637136298`38.16324712712281*I, -1.6528266791360854605014392691024369776993029812254979340578`38.2896357233922 + 1.235488530774975425334554685248285986166867800557637136298`38.16324712712281*I, 0.7182741521829334029278169333076421544626003655601612126209`39.27676063214858}, {0.07489263431898050826784896116805612109601497650146484375`40.}}}","{{-1.8269419427537383 + 1.*I, -1.8269419427537383 + 0.*I, -1.8269419427537383 - 1.*I, 1.2705017938207575 + 1.5*I, 1.2705017938207575 + 0.5*I, 1.2705017938207575 - 0.5*I, 1.2705017938207575 - 1.5*I, -0.3876145764770575 + 2.*I, -0.3876145764770575 + 1.*I, -0.3876145764770575 + 0.*I, -0.3876145764770575 - 1.*I, -0.3876145764770575 - 2.*I}, {0.7056365499578557 + 0.*I, -1.7306881848065112 + 1.*I, -1.7306881848065112 + 0.*I, -1.7306881848065112 - 1.*I}, {0.09655536626676399 + 0.*I}}"
