RunID,Tableau,YoungDiagram,SucceededQ,FailureReason,TimingSeconds,BetheRoots
syt-631d63fc-4581-457d-8f15-d609a43f24cd,"{{1, 2, 6}, {3, 4}, {5}}","{3, 2, 1}",true,None,5.940616,"{{-0.432700399337238660370342258833067149937129090766943353363415734580073991855952165226570190407118`78.92917281522288 - 0.503065694765282175163786689980703133788920047912756693864563987494254621428262478519997525303578`78.99461022198733*I, -0.432700399337238660370342258833067149937129090766943353363415734580073991855952165226570190407118`78.92917281522288 + 0.503065694765282175163786689980703133788920047912756693864563987494254621428262478519997525303578`78.99461022198733*I, 0.219903574306574520849856507677782813105428751372091424080065843957796692601157831503668683348676`79.1935024918378}, {0}}"
syt-ec4c9036-dae0-431e-bad3-1fa2b102ccf5,"{{1, 2, 6}, {3, 5}, {4}}","{3, 2, 1}",true,None,5.779361,"{{-0.354225881145178291235116535041637010240532461907710244327767498808913444498717543430634547816464`78.63988890426322 - 0.500638371522005180346317045048744138350502156052627283551928340667563051485670809230155409645127`78.79013274810579*I, -0.354225881145178291235116535041637010240532461907710244327767498808913444498717543430634547816464`78.63988890426322 + 0.500638371522005180346317045048744138350502156052627283551928340667563051485670809230155409645127`78.79013274810579*I, -0.091792304982631913816367864498382454139038912244149823844465002382173111002564913138730904367072`78.55550533726236}, {-0.180495779441032622170126842320314608514308929443359375`80.}}"
syt-e2c1e97e-f083-426d-932e-32337e99ae0a,"{{1, 3, 6}, {2, 4}, {5}}","{3, 2, 1}",true,None,6.488649,"{{-0.510459501727978908952288997867256369574449543281901294651616633826314114607586655595655806903196`78.86179970552467, -0.074754255586963111345598202139455358363560486982058206710805591550960863382088869282522996735791`77.82482989229996, 0.223621891004553363184814247863882419651700788015424345112422225377274977989675524878178803638987`78.56081957954147}, {0.2383056820741863701673679543091566301882266998291015625`80.}}"
syt-4554045b-c1b6-4d52-8a37-3cb9c0cf1304,"{{1, 3, 6}, {2, 5}, {4}}","{3, 2, 1}",true,None,6.93162,"{{-0.658702056765850625340426656357929885190496420860483951785273710095761633298655002488695839015779`79.09949887565342, -0.12636931954263126100586247181561317677211285829534396160736314495211918335067249875565208049211`78.77755177629666 - 0.499997169377534827271939994253146020345091261697066414846358161657734789214672795178614028032574`79.37487767501513*I, -0.12636931954263126100586247181561317677211285829534396160736314495211918335067249875565208049211`78.77755177629666 + 0.499997169377534827271939994253146020345091261697066414846358161657734789214672795178614028032574`79.37487767501513*I}, {-0.48126046969392299867962492498918436467647552490234375`80.}}"
syt-e26d33a1-a73b-4b99-a4c8-eb57d906a94f,"{{1, 4, 5}, {2, 6}, {3}}","{3, 2, 1}",true,None,6.603114,"{{-0.738436422659674501197682117771399793649605158066185981692807006417976603319626530252429784720021`79.06810518730259, -0.213185945814560040214604818551888043169211304134508244211387822816555188538587499619739414057511`78.79744363675715, 0.574978619690397712204159907999927118032100001019053600904194829234531791858214029872169198777532`79.26179896966374}, {-0.60409609793018426149302513294969685375690460205078125`80.}}"
syt-88339cc4-6c58-4dcb-b558-3a1d73642a09,"{{1, 4, 6}, {2, 5}, {3}}","{3, 2, 1}",true,None,7.06577,"{{-0.710268434831529351354702303174672602689693709017215235677151024662502515058235699855225282666728`79.11147602355038, -0.185162899116149090548276745566178769109640776807530361087281286174322183835107255332173413099741`78.60743748381118, 0.135630631144748114096926602491910248313769300277870596764432310836824698893342955187398695766469`78.58200804967247}, {-0.6329004627421059847591777725028805434703826904296875`80.}}"
